025334,2012-09-17,국2
025334,2011-12-05,국3
025334,2011-08-29,국4
025334,2011-02-21,국5
025334,2010-10-01,국6
025334,2010-08-20,국신
029170,2012-06-11,외3
029170,2011-08-19,외4
029170,2011-06-13,외신
030732,2015-08-17,국2
030732,2015-06-15,국3
030732,2015-02-02,국2
030732,2014-09-15,국2
030732,2014-04-07,국3
030732,2014-02-10,국4
030732,2013-07-08,국5
030732,2013-06-14,국6
030732,2013-05-02,국신
025344,2013-12-23,국3
025344,2013-04-29,국4
025344,2011-06-06,국5
025344,2011-01-21,국6
025344,2010-09-11,국신
030324,2015-02-02,국2
030324,2014-11-10,국2
030324,2014-03-17,국3
030324,2014-02-17,국4
030324,2014-01-13,국5
030324,2013-12-20,국6
030324,2013-11-07,국신
029809,2015-02-02,국3
029809,2015-01-12,국3
029809,2014-11-10,국4
029809,2014-05-05,국5
029809,2013-06-21,국6
029809,2013-04-10,국신
030749,2015-02-02,국4
030749,2014-10-27,국4
030749,2014-07-21,국5
030749,2013-10-04,국6
030749,2013-07-26,국신
034506,2015-07-27,외4
034506,2015-02-16,외3
034506,2015-02-02,외4
034506,2014-07-25,외4
034506,2014-05-28,외신
027828,2016-06-27,국5
027828,2016-01-11,국4
027828,2015-02-02,국5
027828,2013-11-25,국5
027828,2012-09-27,국6
027828,2012-08-18,국신
034751,2015-11-16,외3
034751,2015-03-20,외4
034751,2014-10-29,외미검
035388,2017-02-24,국6
035388,2016-11-04,국미검
036170,2017-10-23,국3
036170,2017-06-26,국4
036170,2017-05-08,국5
036170,2016-10-07,국6
036170,2016-07-17,국미검
040017,2018-04-02,외1
040017,2018-01-08,외2
040017,2017-11-06,외3
040017,2017-09-08,외4
040017,2017-07-21,외미검
038053,2016-11-25,외4
038053,2016-05-21,외미검
039502,2018-09-03,국5
039502,2018-06-01,국6
039502,2018-04-29,국미검
